date,o,h,l,c,v,PE_Ratio,PB_Ratio,Turnover,60MA,30D_MA_slope,MA_bias,30D_CP_slope,MA_slope,bias,CP_slope,foreign_NetBuy_Sell,investment_NetBuy_Sell,dealer_NetBuy_Sell,foreign_holding,investment_holding,dealer_holding,Institutional_investors_holding,foreign_holding_ratio,investment_holding_ratio,dealer_holding_ratio,Institutional_investors_holding_ratio,macro_index,K9,MACD_Col,KD_HL,KD_Turn,KD_10_Slope,KD_30_Slope,KD_50_Slope,MACD_HL,MACD_Turn,MACD_Directions,MACD_Direction_Avg,MACD_Trends,MACD_Trend_Avg,RBK,Up,Down,Conti,Count,K_Pattern,Bullish_Hammer,Bullish_BeltHold,cross,inverted_Hammer,TYPE,TYPE2,TYPE2,forwardReturn_10D,forwardReturn_20D,forwardReturn_30D
20060102,6457.61,6492.92,6424.03,6462.06,4697272,12.8,1.7,0.75,6105.4,4.39,0.0568,16,Z+0D,Z+0.5D,Z+0.5D,15775,-34117,-25615,115138651,3390266,2651988,121180905,31.42,1.31,0.46,33.19,101.12,62.76,0.271,0,0,-0.204,-0.1814,1.2528,1,0,11,0,0,0,0.0007,0.0055,0.0059,1,None,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold_start,hold_start,0.040562916,0.039928444,0.026222288
20060103,6476.2,6591.77,6457.09,6591.77,5214136,13,1.73,0.97,6114.15,4.68,0.0752,15.9,Z+0D,Z+1D,Z+0.5D,-25603,-46268,41203,115113483,3351878,2694636,121159997,31.49,1.31,0.48,33.28,101.12,73.64,-0.24,0,1,-0.1253,-0.0833,1.4742,-1,0,1,9.56,1,0,0.0177,0.0177,0.0206,2,None,red_lower_shadows>upper_shadows,1,0,0,0,hold,hold,0,0.018093775,0.004906118,-0.009264583
20060104,6658.32,6670.96,6579.66,6616.44,5910065,13.1,1.74,1.14,6124.63,4.99,0.0772,16.16,Z+0D,Z+1D,Z+0.5D,301886,944,33941,115413934,3358440,2730427,121502801,31.69,1.31,0.49,33.49,101.12,75.07,2.51,0,0,-0.0541,-0.0578,1.6844,1,1,1,0,2,0,-0.0063,0.0019,0.0056,1,2R,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.017761818,0.002069089,-0.021423908
20060105,6669.8,6717.12,6666.84,6709.87,5851695,13.3,1.76,1.03,6137.13,5.32,0.0892,16.73,Z+0D,Z+1.5D,Z+0.5D,203309,-13644,20354,115616841,3351263,2755297,121723401,31.73,1.31,0.5,33.54,101.12,82.56,8.258,1,0,-0.038,-0.0008,1.9985,1,0,2,0,3,0,0.006,0.0071,0.0064,1,None,red_upper_shadows>_lower_shadows,0,1,0,0,hold,hold,0,-0.029446174,-0.017131479,-0.025581718
20060106,6757.41,6761.01,6676.65,6694.82,5904757,13.2,1.76,1.06,6149.22,5.67,0.085,17.04,Z+0.5D,Z+1D,Z+0.5D,102030,19187,21359,115718726,3376644,2778965,121874335,31.81,1.29,0.5,33.6,101.12,81.83,10.831,1,-1,-0.0583,-0.0626,0.8874,1,0,3,0,4,0,-0.0093,0.0005,0.0027,1,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.031097177,-0.019795902,-0.019894486
20060109,6752.09,6763.86,6708.59,6742.39,5368690,13.3,1.77,0.86,6164.49,6.06,0.0896,17.93,Z+0.5D,Z+1.5D,Z+1D,143377,36197,43820,115862713,3413732,2824667,122101112,32,1.29,0.5,33.79,101.12,85.78,12.953,1,1,-0.0152,0.0666,0.5233,1,0,4,0,5,0,-0.0014,0.0017,0.005,2,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.053455822,-0.019194974,-0.019132681
20060110,6751.56,6751.56,6678.84,6707.4,4473047,13.2,1.76,0.71,6179.1,6.47,0.082,17.92,Z+0.5D,Z+1D,Z+1D,144198,7998,835,116004678,3427430,2827068,122259176,31.88,1.28,0.5,33.66,101.12,84.98,10.79,1,-1,-0.0061,-0.0004,0.2344,1,-1,5,0,0,6.86,-0.0066,0,0.0043,3,None,black_without_upper_shadows,0,0,0,0,hold,hold,0,-0.038086293,-0.01623729,-0.009607299
20060111,6702.47,6741.92,6650.61,6735.89,5237215,13.2,1.77,0.83,6196.47,6.91,0.0835,18.27,Z+0.5D,Z+1D,Z+1D,233611,-10033,16367,116239122,3421311,2843851,122504284,31.75,1.24,0.5,33.49,101.12,87.24,8.122,1,1,0.0062,0.046,0.1876,1,0,6,0,0,0,0.005,0.0059,0.0127,1,3B,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.030242477,-0.007713903,-0.027053589
20060112,6782.15,6797.2,6725.57,6725.61,6004448,13.2,1.77,0.89,6212.76,7.36,0.0793,18.16,Z+0.5D,Z+1D,Z+1D,436305,11564,-68236,116675411,3434796,2780934,122891141,31.97,1.23,0.48,33.68,101.12,85.1,6.704,1,-1,0.0386,0.011,0.0672,1,0,7,0,0,0,-0.0084,0.0022,0,1,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.019479274,-0.007710825,-0.022277533
20060113,6729.58,6729.58,6669.64,6682.35,3806147,13.1,1.76,0.61,6228.49,7.83,0.0703,17.87,Z+0.5D,Z+1D,Z+0.5D,57565,-31953,-46849,116618863,3405373,2736359,122760595,31.84,1.22,0.47,33.53,101.12,78.81,1.028,0,0,0.2277,-0.1266,-0.0011,1,0,8,0,0,0,-0.007,0,0.0019,2,None,black_without_upper_shadows,0,0,0,0,hold,hold,0,0.00562826,0.000628521,-0.028163745
